system,expected_path,present,bytes
Data catalogues,catalogues/domain_subjects_10000_iso_expanded.csv,True,38641556
Priority acquisition,catalogues/priority_acquisition_points_1000.csv,True,1063214
V4 acquisition,advanced_acquisition_points/v4_next_level_acquisition_points_5000.csv,True,6726808
Source families,advanced_sources/source_families_total_v4.csv,True,76329
Endpoint candidates,catalogues/endpoint_candidates_actual_92000.csv,True,79323717
OCR candidates,catalogues/ocr_document_candidates_30000.csv,True,24750623
Benchmarks,benchmarks/benchmark_candidates_30000.csv,True,20573654
Vector namespace registry,vectors/v6_vector_namespace_registry.csv,True,3185
Vector database schema,vectors/v6_vector_database_schema.json,True,1610
Jarvis UI full,ui/jarvis_enterprise_operator_full/src/main.tsx,True,2089
Route registry,ui/jarvis_enterprise_operator_full/src/routes/route_registry.json,True,5820
Button registry,ui/jarvis_enterprise_operator_full/src/features/button_action_registry.csv,True,1466
Data table contracts,ui/jarvis_enterprise_operator_full/src/features/data_table_render_contracts.csv,True,2375
UI high performance spec,advanced_ui/operational_scale_browser_engine/00_ARCHITECTURE.md,True,1143
Protobuf contract,advanced_ui/operational_scale_browser_engine/03_PROTOBUF_CONTRACT.proto,True,734
Source legal review,source_legal_review/source_terms_register.csv,True,126688
Governance policies,governance/ISO_27001_control_mapping.md,True,255
Audit replay,audit_replay/audit_event_schema.json,True,803
Action contracts,actions/action_type_registry.yaml,True,158
Apollo desired state,apollo_runtime/desired_state/connectors.desired.yaml,True,80
Foundry pipelines,foundry_pipelines/raw_zone_manifest.yaml,True,87
Gotham mission apps,gotham_mission_apps/common_operating_picture.yaml,True,704
